region,country,total_cases,imported_cases,deaths,case_fatality_rate,notes
Азия,Афганистан,33.0,0.0,1.0,3.0,
Азия,Индия,385.0,,3.0,0.7,
Азия,Иран,634.0,625.0,4.0,0.6,
Азия,Йемен,1032481.0,0.0,2261.0,0.2,
Азия,Китай,14.0,,0.0,0.0,
Азия,Катар,5.0,5.0,0.0,0.0,
Азия,Малайзия,2.0,0.0,0.0,0.0,
Азия,Непал,7.0,,0.0,0.0,
Азия,ОАЭ,12.0,12.0,0.0,0.0,
Азия,Саудовская Аравия,5.0,5.0,0.0,0.0,
Азия,Сингапур,3.0,3.0,0.0,0.0,
Азия,Таиланд,8.0,0.0,0.0,0.0,
Азия,Филиппины,134.0,,2.0,1.5,
Азия,Южная Корея,5.0,5.0,0.0,0.0,
Азия,Япония,7.0,5.0,0.0,0.0,
Америка,Гаити,13681.0,0.0,159.0,1.2,
Америка,Доминиканская Республика,122.0,0.0,4.0,3.3,
Америка,Канада,4.0,3.0,0.0,0.0,
Америка,США,11.0,9.0,0.0,0.0,
Африка,Все страны,179835.0,,3220.0,1.8,нет информации о завозных случаях
Европа,Все страны,,,,,нет сообщений за 2017
Океания,Австралия,3.0,3.0,0.0,0.0,
Мир,Все страны,1227391.0,675.0,5654.0,0.5,
