"#", name,	Property,	mass,	radius,	discovered
0, 1RXS 1609 b,	0,	14,	19.04,	2008
1, 2M 0122-24 b,	1,	20,	11.2,	2013
2, 2M 0219-39 b,	2,	13.9,	16.128,	2015
3, 2M 0746+20 b,	3,	12.21,	10.864,	2010
4, 2M 2140+16 b,	4,	20,	10.304,	2010
5, 2M 2206-20 b,	5,	30,	14.56,	2010
6, 51 Eri b,	6,	9.1,	12.432,	2015
7, 51 Peg b,	7,	0.47,	21.28,	1995
8, 55 Cnc e,	8,	0.02703,	1.94544,	2004
9, BD+20 594 b,	9,	0.0513,	2.2288,	2016
10, BD-10 3166 b,	10,	0.46,	11.536,	2000
11, CT Cha b,	11,	17,	24.64,	2008
12, CVSO 30 b,	12,	6.2,	21.392,	2012
13, CoRoT-1 b,	13,	1.03,	16.688,	2007
14, CoRoT-10 b,	14,	2.75,	10.864,	2010
15, CoRoT-11 b,	15,	2.33,	16.016,	2010
16, CoRoT-12 b,	16,	0.917,	16.128,	2010
17, CoRoT-13 b,	17,	1.308,	9.912,	2010
18, CoRoT-14 b,	18,	7.6,	12.208,	2010
19, CoRoT-15 b,	19,	63.4,	12.544,	2010
20, CoRoT-16 b,	20,	0.535,	13.104,	2010
21, CoRoT-17 b,	21,	2.43,	11.424,	2010
22, CoRoT-18 b,	22,	3.47,	14.672,	2011
23, CoRoT-19 b,	23,	1.11,	14.448,	2011
24, CoRoT-2 b,	24,	3.31,	16.408,	2007
25, CoRoT-20 b,	25,	4.24,	9.408,	2011
26, CoRoT-21 b,	26,	2.26,	14.56,	2011
27, CoRoT-22 b,	27,	0.06,	4.87648,	2011
28, CoRoT-23 b,	28,	2.8,	12.096,	2011
29, CoRoT-24 b,	29,	0.018,	3.696,	2011
