user_id,device_type,age,time
7141786820,desktop,33.0,2127.0
5644686960,mobile,30.0,35.0
1914055396,desktop,25.0,
4099355752,desktop,25.0,2123.0
6032477554,desktop,27.0,59.0
5872473344,mobile,27.0,
7977025176,mobile,,
3512872755,desktop,40.0,65.0
1827368713,desktop,37.0,
8688870165,desktop,36.0,2124.0
7172802697,mobile,30.0,
8623045648,desktop,34.0,2098.0
2083224479,desktop,29.0,
9819051388,desktop,40.0,2139.0
9312844109,mobile,,40.0
9396302801,mobile,32.0,48.0
6331906669,desktop,26.0,2117.0
6840899645,desktop,39.0,2113.0
5739438900,mobile,33.0,
7486955288,desktop,27.0,2066.0
3371598805,desktop,33.0,2063.0
4621852438,desktop,36.0,2117.0
1397217221,desktop,38.0,2112.0
6378849222,desktop,28.0,2071.0
6371752426,desktop,26.0,2056.0
6692242728,desktop,36.0,2057.0
4829502187,desktop,38.0,
7364229916,desktop,32.0,2117.0
4790428399,desktop,33.0,2069.0
808939090,desktop,37.0,2053.0
3149996649,desktop,25.0,2150.0
9760359799,desktop,27.0,2095.0
1028379048,mobile,27.0,
7298923004,mobile,27.0,49.0
1366696069,mobile,26.0,
3900130868,desktop,34.0,66.0
1695140798,desktop,25.0,2084.0
8960298917,mobile,31.0,46.0
579553850,desktop,35.0,2103.0
6236558508,mobile,37.0,
5811232627,desktop,34.0,2141.0
8993485863,desktop,26.0,
1572755675,desktop,38.0,2059.0
6034222291,desktop,33.0,2080.0
6917033819,mobile,26.0,38.0
3119028684,desktop,34.0,2075.0
8200327189,desktop,31.0,2085.0
9187911792,desktop,39.0,58.0
5500585570,desktop,33.0,2201.0
5062457902,mobile,27.0,
9248062594,desktop,32.0,
8625203036,desktop,36.0,2078.0
7860877940,desktop,35.0,2100.0
6331586375,desktop,35.0,2071.0
5724351127,desktop,30.0,2141.0
3988584004,desktop,36.0,2065.0
5690036640,desktop,35.0,2098.0
6709125805,desktop,38.0,2084.0
1373091995,desktop,25.0,2107.0
2069338274,desktop,26.0,2107.0
8744721527,desktop,31.0,2150.0
9052871127,desktop,35.0,
2724356246,desktop,25.0,65.0
6697055472,desktop,28.0,
4963633116,desktop,25.0,2150.0
5594502398,desktop,28.0,2093.0
9963049355,desktop,34.0,2059.0
3482688368,mobile,40.0,35.0
7084473064,desktop,33.0,2131.0
7818459711,desktop,33.0,
3997250471,desktop,38.0,2077.0
2461644673,mobile,38.0,32.0
8392282195,desktop,37.0,2061.0
8364684017,desktop,40.0,2123.0
4971245204,desktop,30.0,2056.0
2712621905,desktop,,2135.0
7686901492,desktop,37.0,2142.0
852879837,desktop,33.0,2114.0
2030977330,desktop,36.0,2106.0
4329843114,mobile,25.0,
5585974627,desktop,30.0,1999.0
7553084563,desktop,31.0,2126.0
5940658000,desktop,33.0,51.0
6171525057,desktop,40.0,2113.0
2950802860,mobile,26.0,52.0
7035465895,desktop,36.0,2088.0
8771734891,desktop,40.0,
3392996918,desktop,32.0,2148.0
5368472250,desktop,26.0,2084.0
9571861223,desktop,27.0,2127.0
1109478456,mobile,27.0,48.0
2116114102,desktop,37.0,2125.0
7142699835,mobile,36.0,51.0
6145767725,mobile,25.0,
4688361167,desktop,28.0,2090.0
7002614774,desktop,26.0,2149.0
5734278074,mobile,33.0,54.0
5943702905,desktop,,2106.0
7531574589,desktop,,2129.0
9450297626,desktop,30.0,2066.0
7557066181,mobile,37.0,
9784647385,desktop,27.0,2071.0
2471045301,desktop,30.0,2143.0
6005089749,desktop,,2107.0
2278608366,desktop,34.0,2139.0
7190116716,desktop,25.0,2127.0
3243170276,desktop,27.0,1999.0
5316644104,desktop,33.0,2075.0
706217671,desktop,29.0,67.0
5525648544,desktop,36.0,2051.0
4264247631,mobile,34.0,
1776356913,mobile,29.0,
1605683361,desktop,,2092.0
4729265075,mobile,35.0,49.0
1470656799,desktop,36.0,2135.0
5881154965,desktop,29.0,2088.0
1165629115,mobile,25.0,
9436564092,desktop,28.0,2147.0
5418620978,desktop,38.0,2140.0
9224817572,desktop,40.0,
6987735868,desktop,26.0,
651472785,mobile,30.0,39.0
2647253224,desktop,37.0,2097.0
2919399009,mobile,39.0,
5712251456,desktop,38.0,66.0
871209390,desktop,33.0,2149.0
9208706083,mobile,34.0,
1813473086,desktop,33.0,2061.0
9135495878,desktop,33.0,
7383201278,desktop,,68.0
8107720889,desktop,34.0,2129.0
2703564605,desktop,26.0,2069.0
9813127599,mobile,,
5829928067,desktop,37.0,2101.0
4507842622,desktop,40.0,2133.0
1026346487,mobile,25.0,33.0
3950254087,desktop,34.0,
3555246250,desktop,30.0,2088.0
146521971,desktop,36.0,2071.0
1014361153,mobile,33.0,
6804537668,mobile,35.0,36.0
6930063380,mobile,32.0,35.0
3584367173,desktop,34.0,2071.0
1543407293,desktop,32.0,66.0
624980980,desktop,34.0,63.0
2233575598,mobile,33.0,45.0
8060720642,desktop,28.0,2072.0
1574556049,desktop,35.0,2121.0
4159689106,desktop,37.0,2069.0
6850843059,desktop,28.0,60.0
6003925485,desktop,32.0,2129.0
5975416175,desktop,38.0,
8352630758,mobile,33.0,37.0
9583222811,desktop,26.0,
5555562205,mobile,40.0,
5283523782,desktop,,2140.0
7884898135,mobile,36.0,
4204375412,desktop,33.0,2054.0
9928704570,desktop,39.0,2124.0
5651839440,desktop,35.0,2070.0
9336727325,mobile,38.0,
1422416369,desktop,33.0,2053.0
9283255830,mobile,35.0,54.0
6153159599,desktop,,
1541716905,desktop,39.0,
5787133115,desktop,29.0,
7098553161,desktop,26.0,62.0
2456624718,desktop,35.0,
7187393845,desktop,30.0,2126.0
1453815746,mobile,33.0,44.0
1950466112,desktop,29.0,2123.0
6724868284,desktop,36.0,59.0
3693639142,desktop,27.0,2139.0
3963530281,desktop,32.0,2101.0
7292910564,desktop,29.0,60.0
5584170704,desktop,34.0,2132.0
5489473574,mobile,40.0,39.0
3359319304,mobile,38.0,
2599904809,desktop,30.0,2132.0
6127426518,desktop,40.0,2062.0
4262675413,desktop,35.0,2053.0
3597289612,mobile,29.0,48.0
6223263149,desktop,39.0,
2901674193,desktop,35.0,52.0
498453720,desktop,33.0,2073.0
7348399513,desktop,25.0,2071.0
111275238,desktop,27.0,51.0
687752122,desktop,32.0,2149.0
2079041705,desktop,32.0,
5915429329,desktop,40.0,2071.0
4357916655,desktop,34.0,2083.0
5902173933,desktop,31.0,2114.0
4192600651,desktop,35.0,2135.0
4613325140,desktop,27.0,2126.0
747286889,desktop,28.0,2102.0
7945098833,mobile,27.0,
6700414204,desktop,40.0,2129.0
2474460558,mobile,29.0,31.0
7525834251,desktop,40.0,2111.0
4806687064,desktop,26.0,2109.0
7494924810,mobile,39.0,
1469476957,desktop,35.0,2052.0
5986650152,desktop,32.0,2115.0
5289518512,mobile,38.0,44.0
2577252296,mobile,30.0,
5983231042,desktop,30.0,2143.0
6716293896,desktop,25.0,70.0
9858825573,mobile,29.0,
578616947,mobile,33.0,36.0
4817692544,desktop,29.0,
7115451319,mobile,35.0,
3490271629,mobile,31.0,40.0
5043884356,desktop,39.0,2079.0
247265936,desktop,31.0,68.0
8769373518,desktop,39.0,2099.0
2130749926,desktop,31.0,2084.0
5600692309,desktop,36.0,2059.0
1257823602,mobile,31.0,33.0
196797723,desktop,30.0,2121.0
9793124301,mobile,35.0,51.0
9493684354,desktop,29.0,2101.0
6513189995,mobile,37.0,
4669441698,desktop,31.0,2139.0
4613071904,mobile,32.0,44.0
4597103789,mobile,,45.0
9899833421,desktop,28.0,2105.0
7239623213,desktop,27.0,2054.0
4599061271,desktop,40.0,2117.0
5632666328,desktop,26.0,2118.0
4295654539,mobile,35.0,45.0
9723096766,desktop,35.0,65.0
6896229179,desktop,34.0,
3289595905,desktop,34.0,2111.0
6492970424,desktop,,
894794390,mobile,35.0,
7612057440,mobile,30.0,48.0
2254299945,desktop,25.0,
3984065441,desktop,30.0,
5570931779,desktop,26.0,62.0
8088377790,desktop,,
3414531026,desktop,28.0,
9155830971,mobile,25.0,36.0
5066002812,desktop,34.0,2051.0
4489112697,desktop,29.0,
4933149400,desktop,,2113.0
4668592410,mobile,39.0,49.0
822870685,mobile,38.0,41.0
8568621166,desktop,30.0,
4044794735,desktop,28.0,2090.0
2879885194,desktop,32.0,2149.0
2681438359,desktop,26.0,2068.0
3969629560,desktop,38.0,
7003176599,desktop,27.0,2109.0
4382178938,mobile,31.0,
837344606,desktop,30.0,2139.0
6040457264,desktop,27.0,52.0
1181084067,desktop,31.0,2148.0
2595726370,desktop,25.0,2138.0
3221384063,desktop,39.0,2141.0
1420635064,desktop,39.0,69.0
6095663546,desktop,,2084.0
7449896313,desktop,29.0,2114.0
988368870,mobile,33.0,
2153803374,desktop,28.0,
6675507967,mobile,39.0,
7270730204,mobile,33.0,49.0
2065701678,mobile,25.0,52.0
9430629949,desktop,29.0,2150.0
8519320351,mobile,39.0,
4796700201,mobile,27.0,42.0
725721536,mobile,37.0,
1772880789,desktop,27.0,
9449527180,mobile,37.0,30.0
1737991566,desktop,39.0,2099.0
2580512805,desktop,,
7640923349,desktop,30.0,2085.0
340532007,desktop,27.0,2084.0
3782277294,desktop,38.0,2105.0
6585199517,desktop,38.0,2073.0
6848165730,desktop,37.0,2095.0
7063991976,desktop,31.0,2087.0
3768481083,mobile,,
9070555124,desktop,29.0,2079.0
2534171331,desktop,30.0,70.0
1599620180,desktop,25.0,2077.0
5006210543,mobile,32.0,41.0
2384418642,desktop,25.0,
3296453576,mobile,25.0,50.0
238079235,mobile,27.0,44.0
